"","client_id","contract_id","contract_start","contract_end","inter_complex"
"36",102,87,"18/07/2017","18/01/2019",17365+17914i
"37",104,89,"11/01/2021","11/01/2022",18638+19003i
"38",106,553,"31/05/2016","31/05/2016",16952+16952i
"39",106,552,"6/06/2016","6/06/2016",16958+16958i
"40",106,91,"1/01/2015","1/01/2015",16436+16436i
"41",108,93,"1/01/2015","1/01/2015",16436+16436i
"42",111,96,"1/01/2015","1/01/2015",16436+16436i
"43",112,97,"1/01/2015","1/01/2015",16436+16436i
"44",113,98,"4/04/2019","4/10/2019",17990+18173i
"45",115,100,"1/01/2015","1/01/2015",16436+16436i
"46",116,101,"1/01/2015","1/01/2015",16436+16436i
"47",120,104,"19/04/2016","19/04/2016",16910+16910i
"48",124,107,"1/01/2015","1/01/2015",16436+16436i
"49",127,110,"9/05/2017","9/05/2018",17295+17660i
"50",129,112,"1/01/2015","1/01/2015",16436+16436i
"51",130,113,"29/10/2019","29/10/2020",18198+18564i
"52",131,114,"21/09/2020","21/09/2021",18526+18891i
"53",132,115,"1/01/2015","1/01/2015",16436+16436i
"54",134,117,"1/01/2015","1/01/2015",16436+16436i
"55",135,118,"3/10/2019","3/10/2019",18172+18172i
"56",151,133,"29/12/2020","29/12/2021",18625+18990i
"57",152,134,"1/01/2015","1/01/2015",16436+16436i
"58",155,137,"28/10/2020","28/10/2021",18563+18928i
"59",159,139,"22/10/2019","22/10/2021",18191+18922i
"60",161,140,"1/01/2015","1/01/2015",16436+16436i
"61",163,142,"1/01/2015","1/01/2015",16436+16436i
"62",167,144,"16/09/2019","16/03/2021",18155+18702i
"63",170,146,"1/01/2015","1/01/2015",16436+16436i
"64",171,147,"27/07/2016","27/07/2016",17009+17009i
"65",177,151,"1/01/2015","1/01/2015",16436+16436i
"66",179,153,"21/12/2020","21/06/2022",18617+19164i
"67",180,154,"1/01/2015","1/01/2015",16436+16436i
"68",183,157,"1/01/2015","1/01/2015",16436+16436i
"69",184,158,"1/01/2015","1/01/2015",16436+16436i
"70",186,160,"10/12/2018","10/12/2020",17875+18606i
"71",525,313,"1/06/2015","1/06/2015",16587+16587i
"72",528,315,"1/01/2015","1/01/2015",16436+16436i
"73",529,316,"1/01/2015","1/01/2015",16436+16436i
"74",536,319,"15/09/2016","15/09/2016",17059+17059i
"75",805,486,"1/01/2015","1/01/2015",16436+16436i
"76",302,162,"20/08/2019","20/08/2020",18128+18494i
"77",303,163,"1/01/2015","1/01/2015",16436+16436i
"78",304,560,"1/01/2015","1/01/2015",16436+16436i
"79",304,564,"12/11/2014","12/11/2014",16386+16386i
"80",304,565,"12/11/2014","12/11/2014",16386+16386i
"81",304,566,"12/11/2014","12/11/2014",16386+16386i
"82",304,567,"12/11/2014","12/11/2014",16386+16386i
"83",311,170,"11/12/2015","11/12/2015",16780+16780i
"84",314,171,"28/03/2016","28/09/2016",16888+17072i
"85",314,569,"1/01/2015","1/01/2015",16436+16436i
"86",317,172,"1/10/2013","1/10/2016",15979+17075i
"87",322,571,"1/01/2015","1/01/2015",16436+16436i
"88",322,570,"1/01/2016","1/01/2019",16801+17897i
"89",323,175,"15/09/2018","15/09/2019",17789+18154i
"90",324,176,"1/01/2015","1/01/2015",16436+16436i
"91",326,178,"1/01/2015","1/01/2015",16436+16436i
"92",341,185,"15/09/2015","15/09/2015",16693+16693i
"93",342,851,"1/01/2015","1/01/2015",16436+16436i
"94",342,850,"1/01/2015","1/01/2015",16436+16436i
"95",344,187,"20/12/2016","20/12/2016",17155+17155i
"96",346,189,"27/12/2013","27/12/2013",16066+16066i
"97",347,190,"1/01/2015","1/01/2015",16436+16436i
"98",350,193,"11/10/2019","11/10/2021",18180+18911i
"99",351,194,"19/07/2018","19/07/2021",17731+18827i
"100",352,195,"19/07/2018","19/07/2021",17731+18827i
"101",352,573,"1/01/2015","1/01/2015",16436+16436i
"102",353,196,"1/01/2015","1/01/2015",16436+16436i
"103",364,207,"14/10/2015","14/10/2015",16722+16722i
"104",364,995,"8/11/2016","8/11/2016",17113+17113i
"105",364,994,"31/03/2021","31/03/2022",18717+19082i
"106",364,1347,"11/12/2016","11/12/2016",17146+17146i
"107",378,211,"9/10/2020","9/04/2021",18544+18726i
"108",378,561,"9/10/2020","9/04/2021",18544+18726i
"109",378,562,"6/06/2019","6/06/2020",18053+18419i
"110",378,563,"9/10/2020","9/04/2021",18544+18726i
"111",381,212,"1/04/2019","1/04/2020",17987+18353i
"112",385,213,"3/09/2019","3/01/2020",18142+18264i
"113",385,574,"1/01/2015","1/01/2015",16436+16436i
"114",388,577,"1/01/2015","1/01/2015",16436+16436i
"115",389,216,"9/08/2019","9/08/2022",18117+19213i
"116",393,220,"1/01/2015","1/01/2015",16436+16436i
"117",394,221,"1/01/2015","1/01/2018",16436+17532i
"118",395,222,"1/01/2015","1/01/2015",16436+16436i
"119",395,1360,"30/06/2016","30/06/2016",16982+16982i
"120",400,225,"28/09/2015","28/09/2020",16706+18533i
"121",404,228,"1/01/2015","1/01/2015",16436+16436i
"122",407,231,"8/03/2018","8/03/2021",17598+18694i
"123",408,232,"1/01/2015","1/01/2015",16436+16436i
"124",408,595,"19/07/2018","19/07/2020",17731+18462i
"125",410,234,"1/01/2015","1/01/2015",16436+16436i
"126",410,235,"26/06/2014","26/06/2017",16247+17343i
"127",416,237,"15/11/2017","15/11/2020",17485+18581i
"128",417,238,"1/01/2016","1/01/2017",16801+17167i
"129",419,240,"7/03/2019","7/03/2021",17962+18693i
"130",419,596,"1/01/2015","1/01/2015",16436+16436i
"131",421,599,"29/01/2020","29/01/2020",18290+18290i
"132",421,241,"1/01/2015","1/01/2015",16436+16436i
"133",NA,242,"1/01/2015","1/01/2015",16436+16436i
"134",423,243,"1/01/2015","1/01/2015",16436+16436i
"135",424,244,"1/01/2015","1/01/2015",16436+16436i
"136",426,246,"1/01/2015","1/01/2015",16436+16436i
"137",426,600,"1/01/2015","1/01/2015",16436+16436i
"138",435,250,"1/01/2015","1/01/2015",16436+16436i
"139",437,252,"16/11/2020","16/11/2022",18582+19312i
"140",440,253,"1/01/2015","1/01/2015",16436+16436i
"141",442,255,"9/07/2018","9/07/2019",17721+18086i
"142",445,258,"10/03/2017","10/03/2017",17235+17235i
"143",452,263,"1/01/2015","1/01/2015",16436+16436i
"144",453,264,"7/10/2020","7/04/2021",18542+18724i
"145",453,604,"17/10/2017","17/10/2020",17456+18552i
"146",457,267,"25/05/2020","25/05/2022",18407+19137i
"147",457,605,"1/07/2020","1/07/2022",18444+19174i
"148",462,268,"15/01/2018","15/01/2019",17546+17911i
"149",463,269,"1/12/2018","1/06/2019",17866+18048i
"150",464,270,"1/01/2015","1/01/2015",16436+16436i
"151",465,271,"28/06/2019","28/06/2022",18075+19171i
"152",466,272,"1/01/2015","1/01/2015",16436+16436i
"153",469,275,"3/12/2014","3/12/2017",16407+17503i
"154",469,607,"1/01/2015","1/01/2015",16436+16436i
"155",471,277,"30/10/2014","30/10/2018",16373+17834i
"156",473,279,"1/01/2015","1/01/2015",16436+16436i
"157",473,610,"1/01/2015","1/01/2015",16436+16436i
"158",480,285,"1/06/2020","1/06/2021",18414+18779i
"159",503,684,"23/08/2016","23/08/2016",17036+17036i
"160",503,689,"9/11/2017","9/11/2019",17479+18209i
"161",503,686,"19/08/2016","19/08/2016",17032+17032i
"162",484,692,"1/01/2015","1/01/2015",16436+16436i
"163",484,691,"1/01/2015","1/01/2015",16436+16436i
"164",484,693,"1/01/2015","1/01/2015",16436+16436i
"165",486,290,"1/01/2015","1/01/2015",16436+16436i
"166",487,694,"23/02/2015","23/02/2015",16489+16489i
"167",487,291,"1/01/2015","1/01/2015",16436+16436i
"168",489,695,"1/01/2015","1/01/2018",16436+17532i
"169",490,293,"18/09/2016","18/09/2016",17062+17062i
"170",491,294,"1/01/2015","1/01/2018",16436+17532i
"171",492,295,"27/02/2015","27/02/2017",16493+17224i
"172",493,700,"10/05/2018","10/05/2018",17661+17661i
"173",493,701,"20/05/2015","20/05/2015",16575+16575i
"174",493,702,"1/01/2015","1/01/2015",16436+16436i
"175",495,298,"1/01/2015","1/01/2015",16436+16436i
"176",498,301,"20/08/2020","20/08/2021",18494+18859i
"177",502,304,"30/06/2020","30/06/2021",18443+18808i
"178",503,305,"1/01/2015","1/01/2015",16436+16436i
"179",508,306,"25/01/2016","25/01/2016",16825+16825i
"180",508,717,"25/01/2016","25/01/2016",16825+16825i
"181",508,718,"25/01/2016","25/01/2016",16825+16825i
"182",508,719,"1/01/2015","1/01/2015",16436+16436i
"183",508,720,"25/01/2016","25/01/2016",16825+16825i
"184",NA,721,"1/01/2015","1/01/2015",16436+16436i
"185",NA,725,"1/01/2015","1/01/2015",16436+16436i
"186",305,487,"1/01/2015","1/01/2015",16436+16436i
"187",513,307,"1/01/2015","1/01/2015",16436+16436i
"188",2261,740,"1/01/2015","1/01/2015",16436+16436i
"189",519,310,"14/06/2018","14/06/2020",17696+18427i
"190",554,328,"16/10/2017","16/10/2019",17455+18185i
"191",556,330,"12/10/2015","12/10/2019",16720+18181i
"192",556,775,"1/01/2015","1/01/2015",16436+16436i
"193",559,332,"1/01/2015","1/01/2015",16436+16436i
"194",561,333,"12/11/2020","12/11/2022",18578+19308i
"195",565,557,"1/12/2020","1/06/2021",18597+18779i
"196",565,558,"1/01/2015","1/01/2015",16436+16436i
"197",565,559,"14/08/2020","14/08/2021",18488+18853i
"198",565,335,"25/08/2016","25/08/2016",17038+17038i
"199",574,340,"27/08/2019","27/08/2020",18135+18501i
"200",578,341,"24/06/2015","24/06/2015",16610+16610i
"201",583,343,"1/01/2015","1/01/2015",16436+16436i
"202",585,344,"21/04/2016","21/04/2019",16912+18007i
"203",2300,779,"22/06/2016","22/06/2019",16974+18069i
"204",599,351,"1/01/2019","1/01/2020",17897+18262i
"205",603,354,"1/01/2015","1/01/2015",16436+16436i
"206",486,356,"10/09/2015","10/09/2015",16688+16688i
"207",608,358,"10/11/2015","10/11/2018",16749+17845i
"208",608,782,"1/01/2015","1/01/2015",16436+16436i
"209",608,783,"3/08/2015","3/08/2018",16650+17746i
"210",620,360,"1/01/2015","1/01/2017",16436+17167i
"211",626,364,"12/12/2018","12/12/2022",17877+19338i
"212",639,366,"25/02/2015","25/02/2018",16491+17587i
"213",640,1348,"11/12/2016","11/12/2016",17146+17146i
"214",640,367,"1/01/2015","1/01/2015",16436+16436i
"215",385,369,"3/09/2019","3/01/2020",18142+18264i
"216",5,370,"16/11/2018","16/05/2020",17851+18398i
"217",651,372,"15/07/2016","15/07/2016",16997+16997i
"218",654,373,"31/08/2016","31/08/2016",17044+17044i
"219",450,3111,"17/01/2018","17/01/2019",17548+17913i
"220",658,375,"19/10/2015","19/10/2016",16727+17093i
"221",671,788,"17/11/2015","17/11/2015",16756+16756i
"222",677,382,"20/10/2015","20/10/2018",16728+17824i
"223",678,383,"15/10/2015","15/10/2015",16723+16723i
"224",679,384,"1/01/2015","1/01/2015",16436+16436i
"225",680,385,"20/10/2015","20/10/2015",16728+16728i
"226",682,387,"20/10/2015","20/10/2015",16728+16728i
"227",683,388,"1/01/2015","1/01/2015",16436+16436i
"228",683,792,"1/01/2015","1/01/2015",16436+16436i
"229",684,389,"27/12/2016","27/12/2019",17162+18257i
"230",684,802,"14/03/2018","14/03/2019",17604+17969i
"231",685,390,"12/02/2016","12/02/2017",16843+17209i
"232",691,393,"1/12/2015","1/12/2015",16770+16770i
"233",691,803,"5/04/2016","5/04/2019",16896+17991i
"234",694,394,"25/11/2015","25/11/2015",16764+16764i
"235",NA,395,"1/01/2015","1/01/2015",16436+16436i
"236",714,402,"24/11/2020","24/05/2022",18590+19136i
"237",718,405,"1/01/2015","1/01/2015",16436+16436i
"238",718,807,"1/01/2015","1/01/2015",16436+16436i
"239",718,806,"1/01/2015","1/01/2015",16436+16436i
"240",719,406,"1/01/2015","1/01/2015",16436+16436i
"241",738,1357,"1/11/2016","1/11/2016",17106+17106i
"242",739,414,"1/01/2015","1/01/2015",16436+16436i
"243",741,416,"6/01/2016","6/01/2016",16806+16806i
"244",745,419,"2/02/2016","2/02/2016",16833+16833i
"245",746,420,"12/08/2020","12/08/2022",18486+19216i
"246",421,858,"1/01/2015","1/01/2015",16436+16436i
"247",753,813,"1/01/2015","1/01/2015",16436+16436i
"248",753,425,"1/01/2015","1/01/2015",16436+16436i
"249",755,427,"17/02/2016","17/02/2019",16848+17944i
"250",756,428,"16/02/2016","16/02/2016",16847+16847i
"251",772,818,"31/12/2018","31/12/2021",17896+18992i
"252",772,429,"31/12/2018","31/12/2021",17896+18992i
"253",773,430,"1/01/2015","1/01/2015",16436+16436i
"254",70,434,"16/02/2016","16/02/2016",16847+16847i
"255",779,436,"4/03/2016","4/03/2016",16864+16864i
"256",781,437,"9/07/2020","9/07/2020",18452+18452i
"257",437,819,"1/01/2015","1/01/2015",16436+16436i
"258",782,770,"1/07/2018","1/07/2020",17713+18444i
"259",782,771,"1/07/2018","1/07/2020",17713+18444i
"260",782,438,"1/08/2018","1/08/2020",17744+18475i
"261",782,772,"1/10/2018","1/10/2020",17805+18536i
"262",787,441,"27/02/2017","27/02/2020",17224+18319i
"263",788,820,"26/11/2019","26/11/2022",18226+19322i
"264",788,821,"26/11/2019","26/11/2022",18226+19322i
"265",788,442,"26/11/2019","26/11/2022",18226+19322i
"266",790,444,"1/01/2015","1/01/2015",16436+16436i
"267",797,446,"9/01/2020","9/01/2021",18270+18636i
"268",805,450,"1/01/2015","1/01/2015",16436+16436i
"269",821,456,"9/09/2018","9/09/2019",17783+18148i
"270",NA,460,"1/01/2015","1/01/2015",16436+16436i
"271",826,461,"19/06/2020","19/06/2021",18432+18797i
"272",829,464,"26/07/2018","26/07/2020",17738+18469i
"273",830,465,"31/12/2020","31/12/2021",18627+18992i
"274",830,822,"31/12/2020","31/12/2021",18627+18992i
"275",833,468,"1/01/2015","1/01/2015",16436+16436i
"276",834,469,"16/10/2017","16/04/2019",17455+18002i
"277",835,470,"28/10/2020","28/10/2021",18563+18928i
"278",839,474,"28/10/2020","28/10/2021",18563+18928i
"279",2763,1518,"28/10/2020","28/10/2021",18563+18928i
"280",2762,1517,"28/10/2020","28/10/2021",18563+18928i
"281",852,485,"18/05/2016","18/05/2019",16939+18034i
"282",852,592,"18/05/2016","18/05/2019",16939+18034i
"283",852,594,"18/05/2016","18/05/2016",16939+16939i
"284",304,164,"12/11/2014","12/11/2014",16386+16386i
"285",322,174,"2/04/2019","2/04/2022",17988+19084i
"286",346,840,"1/01/2015","1/01/2015",16436+16436i
"287",385,575,"1/01/2015","1/01/2015",16436+16436i
"288",388,215,"1/01/2015","1/01/2015",16436+16436i
"289",421,597,"27/01/2016","27/01/2016",16827+16827i
"290",421,598,"29/01/2020","29/01/2020",18290+18290i
"291",2001,489,"10/04/2018","10/04/2020",17631+18362i
"292",2003,490,"1/01/2015","1/01/2015",16436+16436i
"293",2004,491,"1/01/2015","1/01/2015",16436+16436i
"294",469,608,"1/01/2015","1/01/2015",16436+16436i
"295",473,609,"1/01/2015","1/01/2015",16436+16436i
"296",2012,499,"1/01/2015","1/01/2015",16436+16436i
"297",489,292,"1/01/2015","1/01/2015",16436+16436i
"298",493,703,"1/01/2015","1/01/2015",16436+16436i
"299",2021,508,"1/01/2015","1/01/2015",16436+16436i
"300",2022,509,"30/07/2018","30/07/2020",17742+18473i
"301",2024,511,"10/10/2017","10/04/2019",17449+17996i
"302",2028,515,"15/07/2016","15/07/2019",16997+18092i
"303",834,516,"1/01/2015","1/01/2015",16436+16436i
"304",508,724,"25/01/2016","25/01/2016",16825+16825i
"305",2033,520,"1/01/2015","1/01/2015",16436+16436i
"306",2036,523,"27/05/2016","27/05/2017",16948+17313i
"307",683,793,"1/01/2015","1/01/2015",16436+16436i
"308",572,339,"16/01/2017","16/01/2017",17182+17182i
"309",714,805,"24/11/2020","24/05/2022",18590+19136i
"310",132,525,"1/01/2015","1/01/2015",16436+16436i
"311",2044,526,"3/06/2016","3/06/2016",16955+16955i
"312",2046,528,"10/08/2016","10/02/2017",17023+17207i
"313",2048,530,"21/07/2020","21/07/2021",18464+18829i
"314",2050,532,"21/09/2018","21/09/2021",17795+18891i
"315",755,815,"1/01/2015","1/01/2015",16436+16436i
"316",756,816,"9/05/2019","9/05/2022",18025+19121i
"317",756,817,"31/12/2020","31/03/2021",18627+18717i
"318",2057,539,"1/01/2015","1/01/2015",16436+16436i
"319",2058,540,"13/09/2020","13/12/2021",18518+18974i
"320",2058,590,"13/09/2020","13/12/2021",18518+18974i
"321",2058,591,"13/09/2020","13/12/2021",18518+18974i
"322",2060,542,"31/08/2020","1/12/2021",18505+18962i
"323",2060,843,"31/08/2020","1/12/2021",18505+18962i
"324",2060,844,"22/07/2020","22/07/2022",18465+19195i
"325",2062,544,"6/08/2018","6/01/2019",17749+17902i
"326",13,545,"1/07/2016","1/07/2018",16983+17713i
"327",830,823,"1/01/2015","1/01/2015",16436+16436i
"328",350,846,"1/01/2015","1/01/2017",16436+17167i
"329",385,576,"1/01/2015","1/01/2015",16436+16436i
"330",400,578,"1/01/2015","1/01/2015",16436+16436i
"331",2102,582,"8/09/2016","8/09/2016",17052+17052i
"332",2102,583,"28/12/2015","28/12/2015",16797+16797i
"333",2106,586,"4/12/2017","4/12/2020",17504+18600i
"334",2109,589,"10/03/2016","10/03/2019",16870+17965i
"335",2136,615,"26/01/2016","26/01/2018",16826+17557i
"336",2139,618,"22/02/2021","22/08/2021",18680+18861i
"337",2143,622,"1/01/2015","1/01/2015",16436+16436i
"338",2148,627,"1/01/2015","1/01/2015",16436+16436i
"339",2148,628,"1/01/2015","1/01/2015",16436+16436i
"340",NA,634,"1/01/2015","1/01/2015",16436+16436i
"341",2156,635,"27/03/2017","27/03/2020",17252+18348i
"342",2156,636,"2/09/2019","2/09/2020",18141+18507i
"343",2165,644,"1/01/2015","1/01/2015",16436+16436i
"344",2170,649,"1/01/2015","1/01/2015",16436+16436i
"345",2170,650,"1/01/2015","1/01/2016",16436+16801i
"346",2170,651,"1/01/2015","1/01/2015",16436+16436i
"347",2170,652,"1/01/2015","1/01/2015",16436+16436i
"348",2177,656,"16/09/2020","16/09/2021",18521+18886i
"349",2179,658,"21/03/2014","21/03/2015",16150+16515i
"350",2181,660,"1/01/2015","1/01/2015",16436+16436i
"351",2184,663,"1/01/2015","1/01/2015",16436+16436i
"352",2185,664,"1/10/2020","1/10/2021",18536+18901i
"353",2187,666,"17/03/2021","17/09/2021",18703+18887i
"354",2189,668,"8/04/2015","8/04/2017",16533+17264i
"355",2190,669,"13/11/2018","13/11/2019",17848+18213i
"356",2192,671,"1/01/2015","1/01/2015",16436+16436i
"357",2193,672,"9/03/2020","9/03/2022",18330+19060i
"358",2198,677,"30/04/2016","30/04/2016",16921+16921i
"359",2199,678,"15/03/2016","15/03/2018",16875+17605i
"360",2199,679,"15/03/2016","15/03/2018",16875+17605i
"361",2203,681,"1/01/2015","1/01/2015",16436+16436i
"362",2203,682,"1/01/2015","1/01/2015",16436+16436i
"363",2203,683,"1/01/2015","1/01/2015",16436+16436i
"364",2203,685,"1/01/2015","1/01/2015",16436+16436i
"365",2218,697,"20/10/2020","20/10/2021",18555+18920i
"366",2219,698,"26/11/2019","26/05/2021",18226+18773i
"367",490,696,"26/11/2019","26/11/2020",18226+18592i
"368",2230,709,"17/09/2018","17/09/2020",17791+18522i
"369",508,729,"25/01/2016","25/01/2016",16825+16825i
"370",2251,730,"15/04/2016","15/04/2016",16906+16906i
"371",2267,746,"19/07/2016","19/07/2016",17001+17001i
"372",2274,753,"1/01/2015","1/01/2015",16436+16436i
"373",2275,754,"1/01/2015","1/01/2015",16436+16436i
"374",2276,755,"1/08/2016","1/08/2019",17014+18109i
"375",2280,759,"31/03/2016","31/03/2016",16891+16891i
"376",2280,760,"6/05/2016","6/05/2016",16927+16927i
"377",2307,786,"1/07/2016","1/07/2019",16983+18078i
"378",2311,790,"1/01/2015","1/01/2015",16436+16436i
"379",2316,795,"1/01/2015","1/01/2018",16436+17532i
"380",2318,797,"4/09/2015","4/09/2017",16682+17413i
"381",2319,798,"1/01/2015","1/01/2015",16436+16436i
"382",2322,801,"16/09/2015","16/09/2017",16694+17425i
"383",2325,804,"8/08/2016","8/08/2019",17021+18116i
"384",2330,814,"1/01/2015","1/01/2015",16436+16436i
"385",585,824,"21/04/2016","21/04/2016",16912+16912i
"386",585,825,"21/04/2016","21/04/2019",16912+18007i
"387",585,826,"8/07/2016","8/07/2018",16990+17720i
"388",2350,828,"1/01/2015","1/01/2015",16436+16436i
"389",2352,830,"16/06/2016","16/06/2016",16968+16968i
"390",2355,833,"1/01/2015","1/01/2015",16436+16436i
"391",2356,834,"21/06/2019","21/01/2020",18068+18282i
"392",2068,841,"27/02/2018","27/02/2020",17589+18319i
"393",2367,845,"9/03/2021","9/03/2022",18695+19060i
"394",2986,1958,"6/04/2017","6/04/2018",17262+17627i
"395",596,349,"6/04/2015","6/04/2015",16531+16531i
"396",342,186,"6/10/2016","6/10/2017",17080+17445i
"397",2380,897,"29/01/2016","29/01/2018",16829+17560i
"398",2382,899,"30/10/2016","30/10/2016",17104+17104i
"399",2386,903,"30/10/2016","30/10/2016",17104+17104i
"400",2389,906,"3/10/2018","3/04/2020",17807+18355i
"401",2391,908,"1/01/2015","1/01/2015",16436+16436i
"402",2391,909,"4/02/2021","4/02/2023",18662+19392i
"403",2391,891,"1/01/2015","1/01/2015",16436+16436i
"404",2391,910,"30/10/2016","30/10/2016",17104+17104i
"405",2391,911,"30/10/2016","30/10/2019",17104+18199i
"406",2398,914,"5/07/2016","5/07/2019",16987+18082i
"407",2399,866,"12/09/2019","12/09/2021",18151+18882i
"408",2400,867,"21/07/2020","21/07/2022",18464+19194i
"409",2403,870,"9/08/2016","9/08/2016",17022+17022i
"410",2267,871,"23/08/2016","23/08/2016",17036+17036i
"411",2267,872,"2/09/2016","2/09/2016",17046+17046i
"412",2267,873,"1/01/2015","1/01/2015",16436+16436i
"413",2386,874,"19/01/2017","19/01/2017",17185+17185i
"414",2405,876,"29/05/2017","29/05/2020",17315+18411i
"415",2408,878,"27/02/2021","27/02/2022",18685+19050i
"416",2412,881,"1/08/2016","1/08/2019",17014+18109i
"417",2411,882,"13/11/2020","13/05/2022",18579+19125i
"418",2389,883,"25/10/2016","25/10/2016",17099+17099i
"419",2405,884,"5/09/2016","5/09/2016",17049+17049i
"420",2415,885,"9/08/2016","9/08/2017",17022+17387i
"421",2413,886,"9/09/2020","9/09/2021",18514+18879i
"422",2415,887,"3/08/2016","3/08/2016",17016+17016i
"423",2417,889,"25/07/2016","25/07/2016",17007+17007i
"424",2367,918,"1/04/2020","1/04/2021",18353+18718i
"425",53,919,"2/11/2020","2/11/2021",18568+18933i
"426",572,920,"1/01/2015","1/01/2015",16436+16436i
"427",2261,922,"1/01/2015","1/01/2015",16436+16436i
"428",2261,923,"1/01/2015","1/01/2015",16436+16436i
"429",2261,924,"1/01/2015","1/01/2015",16436+16436i
"430",2261,925,"1/01/2015","1/01/2015",16436+16436i
"431",2261,926,"1/01/2015","1/01/2015",16436+16436i
"432",2261,927,"1/01/2015","1/01/2015",16436+16436i
"433",691,928,"1/12/2015","1/12/2018",16770+17866i
"434",2420,930,"18/07/2018","18/10/2018",17730+17822i
"435",2420,931,"1/01/2015","1/01/2015",16436+16436i
"436",2422,932,"9/08/2016","9/08/2016",17022+17022i
"437",2424,934,"28/06/2016","28/06/2019",16980+18075i
"438",2425,935,"8/08/2016","8/08/2019",17021+18116i
"439",2426,936,"26/08/2020","26/08/2021",18500+18865i
"440",2434,944,"26/02/2016","26/02/2016",16857+16857i
"441",2436,946,"3/05/2016","3/05/2016",16924+16924i
"442",2442,952,"19/08/2016","19/08/2016",17032+17032i
"443",NA,953,"1/01/2015","1/01/2015",16436+16436i
"444",2447,957,"3/11/2017","3/11/2018",17473+17838i
"445",2449,959,"8/07/2016","8/07/2016",16990+16990i
"446",2450,960,"1/01/2015","1/01/2015",16436+16436i
"447",2451,961,"29/11/2019","29/11/2020",18229+18595i
"448",2452,962,"31/01/2021","31/01/2022",18658+19023i
"449",2454,964,"7/08/2020","7/08/2021",18481+18846i
"450",2455,965,"19/05/2018","19/05/2021",17670+18766i
"451",493,970,"3/06/2016","3/06/2016",16955+16955i
"452",2461,971,"12/09/2016","12/09/2016",17056+17056i
"453",2465,977,"1/07/2018","1/07/2020",17713+18444i
"454",2466,978,"16/06/2017","16/06/2020",17333+18429i
"455",2471,982,"26/10/2016","26/10/2016",17100+17100i
"456",2275,983,"25/10/2016","25/10/2016",17099+17099i
"457",445,2411,"20/01/2020","20/01/2022",18281+19012i
"458",445,985,"22/02/2017","22/02/2017",17219+17219i
"459",779,986,"4/02/2020","4/02/2021",18296+18662i
"460",2475,988,"15/09/2016","15/09/2018",17059+17789i
"461",2476,989,"1/02/2019","1/02/2020",17928+18293i
"462",2479,991,"12/09/2016","12/09/2016",17056+17056i
"463",2478,992,"7/11/2016","7/11/2019",17112+18207i
"464",781,993,"9/07/2020","9/07/2020",18452+18452i
"465",829,997,"17/04/2019","17/04/2020",18003+18369i
"466",829,998,"12/09/2019","12/09/2022",18151+19247i
"467",2480,999,"25/10/2016","25/10/2019",17099+18194i
"468",748,1001,"1/02/2019","1/02/2022",17928+19024i
"469",512,1003,"9/11/2016","9/11/2016",17114+17114i
"470",341,1002,"1/01/2015","1/01/2015",16436+16436i
"471",2484,1006,"29/05/2020","29/11/2021",18411+18960i
"472",574,1010,"10/11/2016","10/11/2019",17115+18210i
"473",671,1011,"17/11/2015","17/11/2018",16756+17852i
"474",685,1012,"5/04/2019","5/04/2020",17991+18357i
